,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985
revenuePerShare,15.820258033039078,13.99112007473575,13.27946050776093,10.912387855190289,9.801271971377462,10.085975154102256,7.463457455495672,6.55128794848206,5.91310261447786,4.127230440750343,2.519117874246872,1.6894392817766577,1.2857878068091846,0.9640963855421687,0.7860573009930002,0.5807487076871769,0.3817318332718554,0.3049223816073885,0.28341559723593285,0.2770717090307915,0.39558969276511396,0.3144351035472627,0.3158762228838792,0.5014872521246458,0.7094516594516594,0.8027576197387518,0.6909022556390978,0.5970808383233533,0.5165451895043732,0.46830463182897863,0.3944081748509793,0.366638912017763,0.27983227935111354,0.1805291723202171,0.13200999444752914,0.13834391229082516
netIncomePerShare,3.3085872682177895,2.9714473039181417,2.9764851126245446,2.301686770663626,2.0765757240402807,2.3042190590169045,1.6131798138167566,1.4196948788715118,1.5767341695632462,0.9883330791520513,0.5412096400432566,0.324263663569066,0.19136975455265243,0.14040160642570282,0.08094579195832655,0.0556528264132066,0.012725931390630763,0.003389663981135783,0.0032082922013820336,-0.0012915891713163876,0.03894945490584737,0.030807873692843962,0.016429179072735008,-0.07400849858356941,-0.05887445887445888,0.03076923076923077,0.02330827067669173,0.006511976047904192,0.038629737609329445,0.023010688836104513,0.03370706783990917,0.0315015265056897,0.027495188342040143,0.014721845318860245,0.010688506385341476,0.004399884593190999
operatingCashFlowPerShare,4.649230448454163,3.7315712296616437,3.8716155987799468,3.057347993751347,3.0103461986760314,3.5070357352898784,2.438061407806631,2.057114382091383,1.9214145383104126,1.4308754003355193,0.7181754982233894,0.40002362576783745,0.379889152810768,0.21967871485943774,0.09034673612241576,0.10567783891945973,0.04306528956104758,0.01419728826881509,0.004442250740375123,0.009557759867741268,0.040931615460852326,0.04090629485339348,0.04120586984262016,0.013314447592067988,0.03744588744588745,-0.01741654571843251,0.05541353383458646,-0.04872754491017964,0.06712827988338192,0.014029097387173397,0.06840760715299461,0.03517901748542881,0.020208963431399506,0.012754409769335142,0.02186285397001666,0.019114252740911712
freeCashFlowPerShare,4.2280138811865,3.167191986599878,3.20598010963361,2.46463425501724,2.431557587694156,3.0112708824976884,2.037399967336273,1.7092149647347439,1.566193138884691,1.1467515632148848,0.6362583037231577,0.35226019845644985,0.3324228028503563,0.18008032128514057,0.06360898583753866,0.09483908620977155,0.034950202877167096,0.006140695617999607,-0.004146100691016782,-0.0024281876420748087,0.03562933597621407,0.038497026860775066,0.0382284134410889,-0.017634560906515582,0.03261183261183261,-0.02895500725689405,0.043383458646616545,-0.06467065868263473,0.05291545189504373,-0.002152612826603325,0.052512063582174286,0.018595614765473216,0.010310695628265053,0.006919945725915875,0.017212659633536923,0.01521927293710329
cashPerShare,2.190856344403816,2.626635516732621,1.2956217554457312,0.9658315834211145,0.931043341240202,0.9114339912056977,0.5652457945451576,0.546573137074517,0.40599969774822425,0.37421839255757205,0.43492198362428547,0.20723736021420697,0.47011084718923196,0.3755823293172691,0.26013348526778446,0.1455310988827747,0.1368959793434157,0.16683041854981331,0.11115498519249753,0.11934283942963422,0.05901883052527255,0.06797211400451098,0.0787430880476393,0.08711048158640226,0.11197691197691198,0.054862119013062406,0.09045112781954887,0.05059880239520958,0.03637026239067055,0.044833729216152016,0.02661084303150724,0.030391340549542047,0.025570525158097334,0.038331071913161464,0.03997779011660189,0.024307559145989612
bookValuePerShare,3.765476712094932,4.866083749039829,5.357233212315972,6.381133927884575,5.82920218076131,5.150767235812313,4.554425934999183,4.735855565777369,4.466147801118332,2.9211148391032484,1.8457824810752357,1.2458654906284454,0.832541567695962,0.5836144578313253,0.40631613218297247,0.3112389528097382,0.23404647731464404,0.2074572607584987,0.20212240868706813,0.2025211820624096,0.2035183349851338,0.15911420955505434,0.08730327520204169,0.08498583569405099,0.1484848484848485,0.210522496371553,0.17917293233082707,0.15164670658682636,0.15940233236151605,0.13116092636579574,0.10268237297757593,0.10310852067721343,0.06894418476766566,0.056716417910447764,0.048167684619655746,0.039671090594345065
tangibleBookValuePerShare,18.66561657397578,18.2040403853546,18.285851368440166,17.485031490803344,14.229545726845592,12.141060291185898,9.108321084435735,7.714044771542472,6.449486171981261,4.2679197803873725,2.8618878418044185,1.848401323042999,1.5444576405384007,1.004417670682731,0.6929838840957186,0.4759463064865766,0.36554776835116193,0.3294360385144429,0.3049851924975321,0.307139904939037,0.3371159563924678,0.26455812999794953,0.22804125903870692,0.29978753541076486,0.38701298701298703,0.4521770682148041,0.3987218045112782,0.38705089820359284,0.30787172011661806,0.25935273159144895,0.21118365029804145,0.1903968914793228,0.14311245532031894,0.10027137042062415,0.08051082731815658,0.0675129832660127
shareholdersEquityPerShare,3.765476712094932,4.866083749039829,5.357233212315972,6.381133927884575,5.82920218076131,5.150767235812313,4.554425934999183,4.735855565777369,4.466147801118332,2.9211148391032484,1.8457824810752357,1.2458654906284454,0.832541567695962,0.5836144578313253,0.40631613218297247,0.3112389528097382,0.23404647731464404,0.2074572607584987,0.20212240868706813,0.2025211820624096,0.2035183349851338,0.15911420955505434,0.08730327520204169,0.08498583569405099,0.1484848484848485,0.210522496371553,0.17917293233082707,0.15164670658682636,0.15940233236151605,0.13116092636579574,0.10268237297757593,0.10310852067721343,0.06894418476766566,0.056716417910447764,0.048167684619655746,0.039671090594345065
interestDebtPerShare,6.19175099018166,5.45089787655738,5.446831259078552,5.308146403102086,3.8628935503477004,2.6998211138172183,1.4567613914747672,0.6553204538485127,0.041106241499168805,0.019788012810736617,0.012011432102579947,0.016026145849740117,0.02585114806017419,0.02598393574297189,0.016034510825329643,0.007628814407203602,0.0030431575064551824,0.0045195519748477105,0.01880552813425469,0.03068815871047737,0.042418235877106046,0.03214066024195202,0.054870267971076137,0.06990084985835694,0.08189033189033189,0.059216255442670535,0.045112781954887216,0.06646706586826347,0.018002915451895043,0.01105997624703088,0.008728356514334373,0.00395503746877602,0.021652460819356612,0.0,0.0,0.0
marketCap,1996361343006.3572,1157811801245.652,1061223154160.436,875562090240.0,647108059650.0,667824994320.0,643588530000.0,493696773167.99994,570952556304.0,380090563208.0,285588760000.0,183649370884.0,83078346540.0,164597889300.0,70574297796.0,48652797432.00001,18415432616.0,8215091276.0,5647475000.0,6093675276.0,6959395880.0,12976311932.0,5961458912.0,2088051480.0000002,3031875000.0,4275493040.0,5002342800.0,3608389040.0000005,5971876960.0,6164639008.0,3774640844.0,5822707416.0,5000875000.0,4672049360.0,2122600968.0,1114069448.0
enterpriseValue,2065785343006.3572,1206754801245.652,1141009154160.436,964457090240.0,710156059650.0,708532994320.0,665039530000.0,496397773167.99994,560206556304.0,370275563208.0,274327760000.0,178386370884.0,71203346540.0,155245889300.0,64182297796.0,45161797432.00001,15446432616.0,4819091276.0,3711475000.0,4100675276.0,6068395880.0,11950311932.0,5434458912.0,1834051480.0000002,2614875000.0,4283493040.0,4395342800.0,3762389040.0000005,5656876960.0,5709639008.0,3522640844.0,5441707416.0,4943875000.0,4107049360.0,1546600968.0,777069448.0
peRatio,34.773150493918536,20.953594202360865,17.826395561311518,18.108458775206305,14.163942908267124,12.507491372064278,16.289256643887622,13.329826205362204,13.68108107023219,14.662856384846847,20.380272604010564,22.301077217243474,17.186252904426976,47.081776115560636,35.48230155656108,36.444043020224726,66.72258194202898,119.05929385507247,86.88423076923077,-243.74701104000002,8.854193231552165,21.59120121797005,19.29274728802589,-1.9981353875598087,-3.715533088235294,10.083709999999998,16.136589677419355,41.475736091954026,11.26769237735849,19.885932283870968,7.946612303157894,12.825346731277534,12.5021875,21.53018138248848,13.783123168831171,18.263433573770488
priceToSalesRatio,7.272321523437178,4.450144139097881,3.9956443237276154,3.819512333423489,3.000886016212281,2.8574331742506898,3.520821302552039,2.888635967281025,3.648072662764843,3.5112616579183182,4.378516826370256,4.280372238293905,2.5579096197543025,6.8565312546863275,3.6538595804297174,3.492412420644606,2.224354706607078,1.3235204246818109,0.9835379658655522,1.1362437583442104,0.871777011148691,2.115473089664167,1.0034436815350953,0.2948808755825449,0.3083367232787552,0.38650271560296506,0.5443838067254325,0.4523491337595587,0.8426523155072667,0.9771182450467586,0.6791365318459878,1.1019506843300528,1.2284143944976664,1.7557494776399851,1.1159836845425868,0.5808495557872784
pocfratio,24.74603147242429,16.685330968650863,13.704873236051812,13.632730093265863,9.770470922226751,8.217766277656093,10.77803041213806,9.19943303335445,11.226847496932516,10.127916097098243,15.358363000806667,18.07750476267349,8.657601765318883,30.09102180987203,31.790224232432433,19.19242502248521,19.716737276231264,28.425921370242218,62.749722222222225,32.93878527567568,8.425418740920097,16.26104252130326,7.692205047741936,11.106656808510639,5.841763005780346,-17.814554333333334,6.787439348710991,-5.542840307219663,6.484122649294245,32.61713760846561,3.9156025352697093,11.48463001183432,17.009778911564624,24.851326382978726,6.7384157714285715,4.204035652830189
pfcfRatio,27.211358863304806,19.658581249077223,16.550321332487577,16.911231317649786,12.096156039591005,9.570709884490814,12.897565731462926,11.071916868535546,13.77315955767839,12.6372498323636,17.335726599490105,20.52865759937402,9.893812854590925,36.70782544603033,45.153101596928984,21.385845025054948,24.294765984168865,65.720730208,-67.23184523809523,-129.6526654468085,9.679271043115438,17.27871096138482,8.291319766342141,-8.385748915662651,6.707688053097345,-10.715521403508772,8.669571577123051,-4.176376203703704,8.225725840220386,-212.57375889655174,5.100866005405406,21.726520208955225,33.339166666666664,45.804405490196075,8.558874870967742,5.279949990521327
pbRatio,30.553901085207258,12.795197166979623,9.904366469993896,6.531754461047245,5.045716221179113,5.5952829317582005,5.769662384465741,3.9959592806740645,4.829985249166737,4.961046312184298,5.975785398924483,5.804341684070796,3.9504682139800287,11.326581977704377,7.068739763221154,6.516581493704797,3.627941807722616,1.94532116410135,1.379114774114774,1.554508998979592,1.6945205454102752,4.180512864690721,3.6306083507917175,1.7400429000000002,1.4732142857142856,1.4737997380213719,2.0991786823331937,1.7810409871668311,2.7306250388660263,3.488760049801924,2.6085976807187286,3.9183764576043068,4.985917248255234,5.588575789473684,3.0585028357348705,2.0255808145454544
ptbRatio,30.553901085207258,12.795197166979623,9.904366469993896,6.531754461047245,5.045716221179113,5.5952829317582005,5.769662384465741,3.9959592806740645,4.829985249166737,4.961046312184298,5.975785398924483,5.804341684070796,3.9504682139800287,11.326581977704377,7.068739763221154,6.516581493704797,3.627941807722616,1.94532116410135,1.379114774114774,1.554508998979592,1.6945205454102752,4.180512864690721,3.6306083507917175,1.7400429000000002,1.4732142857142856,1.4737997380213719,2.0991786823331937,1.7810409871668311,2.7306250388660263,3.488760049801924,2.6085976807187286,3.9183764576043068,4.985917248255234,5.588575789473684,3.0585028357348705,2.0255808145454544
evToSales,7.52521845074534,4.638260553497475,4.29604907532309,4.207303847771273,3.293263554598194,3.0316111260295657,3.638171339478651,2.904439606623369,3.5794116358524803,3.420591074356345,4.20586830203143,4.15770588239133,2.1922887570430123,6.466961980338249,3.3229250735697646,3.2418202162084566,1.8657365160043484,0.7763962100853875,0.6463732149076976,0.764623396606377,0.7601648352749593,1.9482086618845778,0.9147380764181114,0.2590102358423952,0.26592850605105256,0.3872259121316218,0.4783265643704429,0.4716546370816097,0.798204735431071,0.9049990502456807,0.633796481468154,1.029846218016654,1.214412920658315,1.543423284479519,0.8131445678233439,0.4051456976016684
enterpriseValueOverEBITDA,26.709057496462002,14.741690706641242,13.33796032731438,12.595921198396217,9.68399028609221,8.384509725105023,10.758894245547053,8.701405363343149,9.316899885311337,10.133985527615085,13.800571486064996,13.506956226546528,8.87711588829323,25.995627813127932,18.673930112307243,20.74496896279284,25.787032747913187,16.17144723489933,13.952913533834586,12.168175893175075,3.5036927713625867,10.983742584558824,10.49123342084942,-2.0022396069868997,-2.2957638279192274,5.02168,6.54068869047619,10.336233626373629,4.984032563876652,8.110282681818182,3.5872106354378817,6.262033850402762,6.7355245231607626,8.538564158004158,4.284213207756233,4.796724987654321
evToOperatingCashFlow,25.60658133979172,17.39065298447424,14.735247490255393,15.016848427247956,10.722411856230465,8.71868917283981,11.137265419590374,9.249762851116161,11.015544995752714,9.866385014468811,14.75277009948911,17.559441961216656,7.42010697582326,28.381332595978062,28.91094495315315,17.815304706903355,16.537936419700213,16.6750563183391,41.23861111111111,22.1658123027027,7.346726246973366,14.975328235588972,7.0122050477419355,9.755592978723406,5.038294797687861,-17.847887666666665,5.963830122116689,-5.779399447004609,6.142103105320304,30.2097302010582,3.654191746887967,10.733150721893491,16.815901360544217,21.846007234042553,4.909844342857143,2.9323375396226417
evToFreeCashFlow,28.157641150498975,20.489588448207893,17.794625070732458,18.628212814153823,13.274689415294315,10.154102931009774,13.327445490981964,11.132490988293338,13.513932462585034,12.310920743691193,16.65216462304237,19.94034997585513,8.479617308562581,34.62218762265834,41.06353025975688,19.851339530549453,20.377879440633244,38.552730208,-44.18422619047619,-87.24841012765957,8.44004990264256,15.91253253262317,7.558357318497913,-7.365668594377511,5.785121681415929,-10.735571528822055,7.617578509532063,-4.354616944444445,7.791841542699725,-196.88410372413793,4.760325464864865,20.304878417910448,32.95916666666667,40.265189803921565,6.236294225806452,3.6827935924170614
earningsYield,0.02875781992128926,0.047724509234188035,0.05609658983279221,0.055222811196344194,0.07060180957213023,0.07995208393535408,0.06139015560143684,0.07501973278524283,0.07309363893587602,0.06819953587170355,0.04906705712087549,0.04484088325683153,0.05818604006126384,0.02123964052557265,0.028183064686656115,0.027439326625891842,0.01498742960619894,0.00839917630636439,0.011509568435451242,-0.004102614410463049,0.11294083761764677,0.04631516282511018,0.0518329497126961,-0.5004665881130479,-0.26914038342609775,0.09916984919241034,0.06197096288563031,0.024110482277709167,0.08874931676422215,0.050286805050174965,0.12583978705021398,0.07797060157143915,0.07998600244957133,0.046446427098535616,0.07255249682897534,0.05475421672276216
freeCashFlowYield,0.03674935915635308,0.05086837078067066,0.06042178758409013,0.05913229978448273,0.08267089120932107,0.10448545740796975,0.07753401074441149,0.09031859721073461,0.07260498187160772,0.07913114113159585,0.05768434303927087,0.0487123912101536,0.10107326818254705,0.027242147630625782,0.022146872853314986,0.04675990117895426,0.041161129135865206,0.015215899105732589,-0.01487390382427545,-0.007712915091670533,0.10331356519985754,0.05787468765666846,0.12060806098196925,-0.1192499334355492,0.14908266336837767,-0.09332257034851821,0.11534595350002802,-0.23944203089587032,0.12156981881287789,-0.004704249504693787,0.1960451419308597,0.04602669872499051,0.029994750918589247,0.021831961124657295,0.11683778710120706,0.1893957332541445
debtToEquity,3.957039440456695,2.7410043320661304,2.4133013523477094,1.7999060031183092,1.5082924623193943,1.432616982950023,1.0783974468161404,0.6754486074351067,0.48941713898993316,0.5189062194087319,0.5731623108953569,0.5012958280657396,0.8816928197812649,0.7442196531791907,0.7232572115384616,0.5471470667023841,0.5858944050433412,0.6137816717973005,0.537973137973138,0.5359693877551021,0.6564402240077916,0.6626932989690721,1.6120584652862362,2.5275,1.6064139941690962,1.1478800413650465,1.224926563155686,1.552319842053307,0.9309556470050298,0.9773627617430674,1.056668970283345,0.8465679676985195,1.0757726819541376,0.7667464114832536,0.6714697406340058,0.7018181818181818
debtToAssets,0.7982666847799239,0.7326921031797611,0.7070285050242668,0.6428451530564666,0.6013224075651412,0.5889200778384336,0.5188600709975457,0.4031449275362319,0.32859641948382406,0.34163150613125265,0.36433768272082784,0.3339087598155828,0.468563630850096,0.4266777133388567,0.41970357454228424,0.35364903471560905,0.3694409937888199,0.38033749082905355,0.3497935852651635,0.3489453579139678,0.39629575187417315,0.39856616934702577,0.617160177197482,0.7165131112686038,0.616331096196868,0.5344246509388542,0.5504431453894022,0.6081995745503771,0.48200757575757575,0.4942759015455066,0.5137768817204301,0.4584548104956268,0.5182516810758886,0.43369418132611637,0.4017241379310345,0.41239316239316237
